species_latin_name,species_common_name,project_accession,stable_sample_id,site_label,paper_doi,supplementary_source,inclusion_note
Equus caballus,horse,PRJEB44430,equus_caballus:sample:prjeb44430,site detail not yet extracted from tracked source support,10.1038/s41586-021-04018-9,,"This accession-backed sample row is curated into the species master table, but site and chronology extraction are still blocked until a project-owned site evidence row is curated from paper or supplementary support."
Equus caballus,horse,PRJEB56293,equus_caballus:sample:prjeb56293,site detail not yet extracted from tracked source support,,,"This accession-backed sample row is curated into the species master table, but site and chronology extraction are still blocked until a project-owned site evidence row is curated from paper or supplementary support."
Equus caballus,horse,PRJEB7537,equus_caballus:sample:prjeb7537,site detail not yet extracted from tracked source support,,,"This accession-backed sample row is curated into the species master table, but site and chronology extraction are still blocked until a project-owned site evidence row is curated from paper or supplementary support."
Equus caballus,horse,PRJEB9799,equus_caballus:sample:prjeb9799,site detail not yet extracted from tracked source support,,,"This accession-backed sample row is curated into the species master table, but site and chronology extraction are still blocked until a project-owned site evidence row is curated from paper or supplementary support."
Felis catus,cat,PRJNA1178732,felis_catus:sample:prjna1178732,site detail not yet extracted from tracked source support,10.1016/j.xgen.2025.101099,,"This accession-backed sample row is curated into the species master table, but site and chronology extraction are still blocked until a project-owned site evidence row is curated from paper or supplementary support."
Ovis aries,sheep,PRJEB36540,ovis_aries:sample:prjeb36540,site detail not yet extracted from tracked source support,10.1038/s42003-021-02794-8,data/adna/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip,"This accession-backed sample row is curated into the species master table, but site and chronology extraction are still blocked until a project-owned site evidence row is curated from paper or supplementary support."
Ovis aries,sheep,PRJEB41594,ovis_aries:sample:prjeb41594,site detail not yet extracted from tracked source support,10.1038/s41562-021-01083-y,,"This accession-backed sample row is curated into the species master table, but site and chronology extraction are still blocked until a project-owned site evidence row is curated from paper or supplementary support."
Ovis aries,sheep,PRJEB61808,ovis_aries:sample:prjeb61808,site detail not yet extracted from tracked source support,,,"This accession-backed sample row is curated into the species master table, but site and chronology extraction are still blocked until a project-owned site evidence row is curated from paper or supplementary support."
Ovis aries,sheep,PRJEB69690,ovis_aries:sample:prjeb69690,site detail not yet extracted from tracked source support,,,"This accession-backed sample row is curated into the species master table, but site and chronology extraction are still blocked until a project-owned site evidence row is curated from paper or supplementary support."
Ovis aries,sheep,PRJEB81145,ovis_aries:sample:prjeb81145,site detail not yet extracted from tracked source support,,,"This accession-backed sample row is curated into the species master table, but site and chronology extraction are still blocked until a project-owned site evidence row is curated from paper or supplementary support."
Rangifer tarandus,reindeer,PRJEB57293,rangifer_tarandus:sample:prjeb57293,site detail not yet extracted from tracked source support,,,"This accession-backed sample row is curated into the species master table, but site and chronology extraction are still blocked until a project-owned site evidence row is curated from paper or supplementary support."
Rangifer tarandus,reindeer,PRJEB61721,rangifer_tarandus:sample:prjeb61721,site detail not yet extracted from tracked source support,,,"This accession-backed sample row is curated into the species master table, but site and chronology extraction are still blocked until a project-owned site evidence row is curated from paper or supplementary support."
Rangifer tarandus,reindeer,PRJNA634908,rangifer_tarandus:sample:prjna634908,site detail not yet extracted from tracked source support,,,"This accession-backed sample row is curated into the species master table, but site and chronology extraction are still blocked until a project-owned site evidence row is curated from paper or supplementary support."
Sus scrofa domesticus,pig,PRJNA421430,sus_scrofa_domesticus:sample:prjna421430,site detail not yet extracted from tracked source support,,,"This accession-backed sample row is curated into the species master table, but site and chronology extraction are still blocked until a project-owned site evidence row is curated from paper or supplementary support."
Sus scrofa domesticus,pig,PRJNA788987,sus_scrofa_domesticus:sample:prjna788987,site detail not yet extracted from tracked source support,,,"This accession-backed sample row is curated into the species master table, but site and chronology extraction are still blocked until a project-owned site evidence row is curated from paper or supplementary support."
Sus scrofa domesticus,pig,PRJNA878488,sus_scrofa_domesticus:sample:prjna878488,site detail not yet extracted from tracked source support,,,"This accession-backed sample row is curated into the species master table, but site and chronology extraction are still blocked until a project-owned site evidence row is curated from paper or supplementary support."
